"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","ugazama","úgazáma","úɣasáma"
"2","Ahetze","amaordain","ámaorrdáin","ámaor̄ðái̯n"
"3","Ahetze","matanta","matánta","matánta"
"4","Ahetze","amaordia","amáorrdía","amáor̄ðía"
"5","Aia","amaordeko","amáorrdekó","amáor̄ðekó"
"6","Aldude","amaizun","amaizún","amai̯sún"
"7","Alkotz","uezama","úezamá","úesamá"
"8","Altzai","amaxün","ámax´ün","ámaʃýn"
"9","Altzai","tanta","tánta","tánta"
"10","Altzürükü","amaxün","amáxün","amáʃyn"
"11","Altzürükü","tanta","tánta","tánta"
"12","Amezketa","amaordeko","amáorrdekó","amáɔr̄ðekɔ́"
"13","Andoain","guezama","guézamá","ɣwésamá"
"14","Andoain","amaordeko","amáorrdekó","amáor̄ðekó"
"15","Aramaio","amaorde","amáorrde","amáor̄ðe"
"16","Araotz (Oñati)","amaordeko","amáorrdeko","amáor̄ðeko"
"17","Arbizu","ubezama","úbezamá","úbesamá"
"18","Armendaritze","amaizun","amaizún","amaisún"
"19","Arnegi","amaizun","ámaizún","ámai̯sún"
"20","Arnegi","izeba","izebá","iseβá"
"21","Arrangoitze","matanta","matantá","matantá"
"22","Arrasate","amaorde","amáorrde","amáor̄ðe"
"23","Arrazola (Atxondo)","amaorde","ámaorrde","ámaor̄ðe"
"24","Arrieta","amaorde","amáorrdé","amáor̄ðé"
"25","Arroa (Zestoa)","amaordeko","amáorrdekó","amáɔr̄ðekó"
"26","Arrueta","tanta","tánta","tánta"
"27","Asteasu","uezama","uézamá","wésamá"
"28","Asteasu","uazama","uázamá","wásamá"
"29","Asteasu","uezama","uézamá","uésamá"
"30","Ataun","uazama","uazamá","uasamá"
"31","Azkaine","amaordia","amáorrdía","amáor̄ðía"
"32","Azkoitia","uezama","úezamá","úesamá"
"33","Azpeitia","uesama","uésamá","uéśamá"
"34","Azpeitia","uezama","uézamá","uésamá"
"35","Baigorri","amaizun","amaizun","amai̯sun"
"36","Bakio","amaorde","amáorrde","amáor̄ðe"
"37","Barkoxe","amaxün","amáxün","amáʃyn"
"38","Bastida","belemera","belemera","belømera"
"39","Beasain","uazama","úazama","úasama"
