"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","aurra ina du","áurraina dú","áu̯r̄ai̯na ðú"
"2","Alkotz","umiñe","umíñe","umíɲe"
"3","Alkotz","umia in du","umíain dú","umíai̯n dú"
"4","Alkotz","umia iñe da","úmía íñe dá","úmía íɲe ðá"
"5","Altzai","haurdün","haurrd´ün","hau̯r̄ðýn"
"6","Altzai","haurregin","háurregín","háu̯r̄eɣín"
"7","Altzürükü","haurregin","háurrégin","háu̯r̄éɣin"
"8","Aramaio","uretan pasau","urétampasau","urétampaśau̯"
"9","Aramaio","amasoltera","amásoltera","amáśoltera"
"10","Araotz (Oñati)","amasoltera","amásoltera","amáśoltera"
"11","Arbizu","umejana","úmejaná","úmexaná"
"12","Arboti","haur inik","háurr inik","háu̯r̄ inik"
"13","Arnegi","baxtartile","baxtárrtíle","βaʃtár̄tíle"
"14","Arnegi","bazko in du erramu beno lehen","bázko in du errámu beno léhen","básko in du er̄ámu βeno léhen"
"15","Arrangoitze","erramu aintzinian pazkoa in","errámu aintzíniam pazkoa ín","er̄ámu ai̯ntsíniam paskoa ín"
"16","Arrasate","soltera","soltéra","śoltéra"
"17","Arrazola (Atxondo)","soltera","soltéra","śoltéra"
"18","Arrieta","yasoneko","yasónéko","ǰaśónéko"
"19","Arroa (Zestoa)","amasoltera","ámasolterá","ámaśɔlterá"
"20","Arrueta","haurrin","haurrín","hau̯r̄ín"
"21","Arrueta","bastarta badik","bastárrta badík","baśtár̄ta βaðík"
"22","Azkoitia","neskatan izen du","neskátan izen dú","neśkátan isɛn dú"
"23","Azpeitia","fameliye izendakue","fámeliyeizéndakué","fámeliǰei̯séndakué"
"24","Azpeitia","izendakue","izéndakue","iséndakwe"
"25","Baigorri","basterta egin","basterrta egin","baśter̄ta eɣin"
"26","Baigorri","haur hobengabea","haurr hobengabea","hau̯r̄ hoβeŋgaβea"
"27","Bakio","amasoltera","amasoltéra","amaśoltéra"
"28","Beasain","solteratan izandakoa","sólteratan izándakoá","śólteratan isándakoá"
"29","Beasain","neskatan famili izandako neskea","neskátan fámilizándako neskéa","neśkátan fámili:sándako neśkéa"
"30","Beizama","familiya izanduba","fámiliyaizandubá","fámiliǰai̯sanduβá:"
"31","Beizama","familiya izendakua","fámiliyaizendakuá","fámiliǰai̯sɛndakwá"
"32","Bergara","famelixa ixendako soltera","famélixa ixéndako soltéra","faméliʃa iʃéndako śoltéra"
"33","Bermeo","amasoltera","amasoltéra","amaśoltéra"
"34","Berriz","bandera","bandéra","bandéra"
"35","Beruete","neska","neská","neśká"
"36","Beskoitze","bazko egin du erramu aitzin","bázko egin dú errámu aitzín","básko eɣin dú er̄ámu ai̯tsín"
"37","Bolibar","neskaumedun","neskaumédun","neśkau̯méðun"
"38","Busturia","amaeskondubako","amaeskondúbako","amaeśkondúβako"
"39","Deba","eskondu gabeko ama","eskóndu gabéko ámá","eśkóndu ɣaβéko ámá"
"40","Domintxaine","haurra in","háurra in","háu̯r̄a in"
"41","Donamaria","solteetan eiña","soltéetan éiña","śoltéetan éi̯ɲa"
"42","Donamaria","aurriña","aurríñAE","au̯r̄íɲạ"
"43","Donamaria","gaztetan eiña dik orrek unelako aurra","gaztétan eíña dik orrék unélako áurra","gastétan eíɲa ðik or̄ék unélako áu̯r̄a"
"44","Donostia","solteratan izandu","solteratan izandu","śolteratan isandu"
"45","Dorrao / Torrano","amasoltera","ámasoltéra","ámaśɔltéra"
"46","Elantxobe","soltera","soltéra","śoltéra"
"47","Elduain","solteratan famili izandua","sólteratan fámilizándua","śólteratan fámili:sándua"
"48","Elgoibar","neskatan isendakuak","neskátan isendakuak","neśkátan iśendakuak"
"49","Elorrio","soltera","soltéra","śoltéra"
"50","Errezil","amasoltera","amásoltéra","amáśɔltéra"
"51","Etxalar","neska aurdunduna","neská aurrdúnduná","neśká au̯r̄ðúnduná"
"52","Etxalar","umia izandua","umíaizándua","umíai̯sándua"
"53","Etxarri (Larraun)","aurre endako neska","áurre éndako neská","áu̯r̄e éndako neśká"
"54","Etxebarri","amasoltera","amásoltera","amáśoltera"
"55","Ezkio-Itsaso","gaztetan familie izandakoa","gaztétan fámilieizándakoá","gastétaɱ fámiljei̯sándakoá:"
"56","Ezkurra","neskaandre","néskaandrré","néśkaandr̄é"
"57","Ezterenzubi","nexkahaurrin","néxkahaurrín","néʃkahau̯r̄ín"
"58","Gaintza","soltera","solterá","śɔlterá"
"59","Gamarte","haurrin","haurrín","hau̯r̄ín"
"60","Gamiz-Fika","amasoltera","amásoltérá","amáśoltérá"
"61","Gamiz-Fika","yasone","yasóne","ǰaśóne"
"62","Getaria","solteretan familiya isandakua","sólteretan fámiliyaisándakuá","śólteretaɱ fámiliǰai̯śándakuá"
"63","Getaria","neskatan familiya isandakua","neskátan fámiliyaisándakuá","neśkátaɱ fámiliǰai̯śándakuá"
"64","Getxo","solteratan famili eukiko","soltératan famílieukíko","śoltératan famílieu̯kíko"
"65","Gizaburuaga","soltera","soltéra","śoltéra"
"66","Goizueta","solteratan izan dik","soltératan izán dik","śoltératan isán dik"
"67","Goizueta","gaztetan izan dik","gaztétan izán dik","gastétan isán dik"
"68","Hazparne","zantzail","zántzail","sántsai̯l"
"69","Hendaia","neska aurriñak","neská áurriñak","neśká áu̯Riɲak"
"70","Hondarribia","amazoltera","amazoltéra","amasoltéra"
"71","Ibarruri (Muxika)","solteratako","solteratáko","śolteratáko"
"72","Ibarruri (Muxika)","soltera","soltéra","śoltéra"
"73","Igoa","nesketan izandu","nésketan ízandú","néśketan ísandú:"
"74","Ikaztegieta","amasoltera","amasoltéra","amaśoltéra"
"75","Irisarri","bastartile","bástarrtilé","báśtar̄tilé"
"76","Irisarri","pazko erramu beno leen ina","pázko erramú béno leén iná","pásko er̄amú βéno leén iná"
"77","Izturitze","haurdun","haurrdun","hau̯r̄ðun"
"78","Izturitze","bastardun","bastarrdun","baśtar̄ðun"
