"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","emazteki","emaztéki","emastéki"
"2","Ahetze","emazte","emázte","emáste"
"3","Ahetze","emazteki","emáztekí","emástekí"
"4","Aia","emakume","emákume","emákume"
"5","Aia","andre","andré","andré"
"6","Aia","emakumezko","emákumezkó","emákumeskó"
"7","Aldude","emazte","emázte","emáste"
"8","Aldude","emazteki","emázteki","emásteki"
"9","Alkotz","mazteki","maztéki","mastéki"
"10","Alkotz","emakumi","emákumi","emákumj"
"11","Altzai","emazte","emazté","emasté"
"12","Altzürükü","emazte","emázte","emáste"
"13","Amezketa","emakumezko","emákumezkó","emákumɛskɔ́"
"14","Amezketa","emakume","emákume","emákume"
"15","Andoain","emakume","emákumé","emákumé:"
"16","Andoain","emakumezko","emákumezkó","emákumeskó"
"17","Aniz","andre","andré","andré"
"18","Aniz","emakume","emákume","emákume"
"19","Aniz","mazteki","maztekí","mastekí"
"20","Aramaio","emakuma","emákuma","emákuma"
"21","Aramaio","andrasko","ándrrasko","ándr̄aśko"
"22","Araotz (Oñati)","emakume","emákume","emákume"
"23","Arbizu","andre","andrré","andr̄é"
"24","Arboti","emazte","emázte","emáste"
"25","Arboti","emazteki","emázteki","emásteki"
"26","Armendaritze","emazte","emazté","emasté"
"27","Armendaritze","emazteki","emaztekí","emastekí"
"28","Arnegi","mazte","mazté","masté"
"29","Arnegi","mazteki","maztéki","mastéki"
"30","Arnegi","emakume","emákumé","emákumé"
"31","Arrangoitze","emazteki","emaztéki","emastéki"
"32","Arrasate","emakume","emákume","emákume"
"33","Arrasate","emakumesko","emákumesko","emákumeśko"
"34","Arrazola (Atxondo)","andrasko","andrrásko","andr̄áśko"
"35","Arrazola (Atxondo)","emakume","emákume","emákume"
"36","Arrazola (Atxondo)","emakuma","emákuma","emákuma"
"37","Arrieta","enbra","émbra","émbra"
"38","Arrieta","andra","andrá","andrá"
"39","Arrieta","andrasko","andrásko","andráśko"
"40","Arroa (Zestoa)","andre","andré","andré"
"41","Arroa (Zestoa)","andrezko","andrézko","andrésko"
"42","Arroa (Zestoa)","emakumezko","emákumezkó","emákumeskó"
"43","Arrueta","emazte","emázte","emáste"
"44","Arrueta","andere","ándere","ándere"
"45","Asteasu","emakumezko","emákumezkó","emákumeskó"
"46","Asteasu","emakume","emákumé","emákumé"
"47","Ataun","emakumezko","emákumezkó","emákumeskó"
"48","Ataun","emakume","emakumé","emakumé"
"49","Azkaine","emazte","emazté","emasté"
"50","Azkoitia","emakume","emákume","emákume"
"51","Azpeitia","emakumezko","emákumezkó","emákumeskó"
"52","Baigorri","mazte","mazte","maste"
"53","Baigorri","emazteki","emazteki","emasteki"
"54","Baigorri","emazte","emazte","emaste"
"55","Baigorri","emaztegi","emaztegia","emasteɣia"
"56","Bakio","enbrasko","émbrrasko","émbr̄aśko"
"57","Bakio","gonadun","gónadun","ɣónaðun"
"58","Bardoze","emazte","emázte","emáste"
"59","Barkoxe","emazte","emázte","emáste"
"60","Barkoxe","emazteki","emázteki","emásteki"
"61","Bastida","emazte","emazte","emaste"
"62","Bastida","emazteki","emazteki","emasteki"
"63","Beasain","emakumezko","emákumezkó","emákumeskó"
"64","Beasain","emakume","emákumeá","emákumeá"
"65","Behorlegi","emazte","emazté","emasté"
"66","Behorlegi","emazteki","emaztekí","emastekí"
"67","Beizama","emakume","emákumé","emákumé"
"68","Beizama","emakumezko","emákumezkó","emákumeskó"
"69","Bergara","andrakume","andrakúme","andrakúme"
"70","Bergara","andra","ándra","ándra"
"71","Bergara","emakume","emakúme","emakúme"
