"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","anea","anéa","anéa"
"2","Ahetze","anai","anái","anái̯"
"3","Aia","anai","anái","anái̯"
"4","Aldude","anaia","anáia","anái̯a"
"5","Alkotz","anaye","anáye","anáǰe"
"6","Altzai","anaie","anáie","anáje"
"7","Altzürükü","anaie","anáie","anáje"
"8","Amezketa","anai","anái","anái̯"
"9","Andoain","anai","anái","anái̯"
"10","Aniz","anai","ánai","ánai̯"
"11","Aramaio","anai","ánai","ánai̯"
"12","Araotz (Oñati)","anae","anáe","anáe"
"13","Arbizu","anei","anéi","anéi̯"
"14","Arboti","anaia","anáia","anája"
"15","Armendaritze","anaia","anáia","anái̯a"
"16","Arnegi","anaia","anáia","anái̯a"
"17","Arrangoitze","anaia","ánaia","ánai̯a"
"18","Arrasate","anai","ánai","ánai̯"
"19","Arrazola (Atxondo)","anai¡a","anái¡a","anái̯ʒa"
"20","Arrieta","anai¡e","anái¡é","anái̯ʒé"
"21","Arroa (Zestoa)","anai","anái","anái̯"
"22","Arrueta","aneia","anéia","anéja"
"23","Asteasu","anai","anái","anái̯"
"24","Ataun","anai","anái","anái̯"
"25","Azkaine","anaya","anáya","anáǰa"
"26","Azkoitia","anai","anái","anái̯"
"27","Azpeitia","anai","anái","anái̯"
"28","Baigorri","anai","anai","anai̯"
"29","Bakio","anai¡e","anái¡e","anái̯ʒe"
"30","Bardoze","anea","ánea","ánea"
"31","Barkoxe","anaie","anáie","anáje"
"32","Bastida","anea","anéa","anéa"
"33","Beasain","anai","anái","anái̯"
"34","Behorlegi","anaya","anayá","anaǰá"
"35","Beizama","anai","anái","anái̯"
"36","Bergara","anae","anáe","anáe"
"37","Bermeo","anai¡e","anái¡e","anái̯ʒe"
"38","Berriz","anai¡a","anái¡a","anái̯ʒa"
"39","Beruete","anai","anái","anái̯"
"40","Beskoitze","anea","anéa","anéa"
"41","Bidarrai","aneia","anéia","anéi̯a"
"42","Bolibar","anaixe","anáixe","anái̯ʃe"
"43","Busturia","anai¡e","anái¡e","anái̯ʒe"
