"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","amutxi","amútxi","amútʃi"
"2","Ahetze","amatxi","amatxí","amatʃí"
"3","Aia","amon","amón","amón"
"4","Aia","amandre","amandré","amandré"
"5","Aldude","amatxi","ámatxí","ámatʃí"
"6","Alkotz","amutxi","amútxi","amútʃi"
"7","Alkotz","abuela","abuéla","aβwéla"
"8","Altzai","axama","axáma","aʃáma"
"9","Altzai","amañi","ámañí","ámaɲí:"
"10","Altzürükü","amama","ámama","ámama"
"11","Altzürükü","amatxi","amatxí","amatʃí"
"12","Amezketa","amona","amoná","amoná"
"13","Andoain","amon","amón","amón"
"14","Aniz","amatxi","amátxi","amátʃi"
"15","Aramaio","amandre","ámandrre","ámandr̄e"
"16","Aramaio","amama","amáma","amáma"
"17","Araotz (Oñati)","amandre","amándrre","amándr̄e"
"18","Arbizu","amiñ","amíñ","amíɲ"
"19","Arboti","amama","ámamá","ámamá"
"20","Arboti","amañi","amañí","amaɲí"
"21","Armendaritze","amatxi","amatxí","amatʃí"
"22","Arnegi","amatxi","ámatxi","ámatʃi"
"23","Arrangoitze","amatxi","amatxí","amatʃí"
"24","Arrasate","amama","amáma","amáma"
"25","Arrasate","amandre","amándrre","amándr̄e"
"26","Arrasate","ixeko","ixéko","iʃéko"
"27","Arrazola (Atxondo)","amama","ámama","ámama"
"28","Arrieta","amoma","ámomá","ámomá"
"29","Arroa (Zestoa)","amama","amamá","amamá"
"30","Arroa (Zestoa)","amona","amóna","amóna"
"31","Arrueta","oxama","oxamá:","oʃamá:"
"32","Asteasu","amona","amóná","amóná"
"33","Ataun","amandre","amandré","amandrɛ́"
"34","Azkaine","amatxi","amátxí","amátʃí"
"35","Azkoitia","amama","amamá","amãmá"
"36","Azpeitia","amama","amáma","amáma"
"37","Baigorri","amatxi","amatxi","amatʃi"
"38","Bakio","amama","ámama","ámama"
"39","Bardoze","amatxi","amátxi","amátʃi"
"40","Barkoxe","amañi","amañí","amaɲí"
"41","Bastida","amatxi","amatxi","amatʃi"
"42","Bastida","amaatxi","amáatxi","amáatʃi"
"43","Beasain","amona","amóná","amóná"
"44","Behorlegi","amatxi","amatxí","amatʃí"
"45","Beizama","amandre","amandré","amandrɛ́"
"46","Beizama","amona","ámoná","ámoná"
"47","Bergara","amandre","amándria","amándria"
"48","Bergara","amama","ámama","ámama"
"49","Bermeo","amama","amáma","amáma"
"50","Berriz","amama","ámama","ámama"
"51","Beruete","amandre","ámandré","ámandré"
"52","Beskoitze","amatxi","amátxi","amátʃi"
"53","Bidarrai","amatxi","ámatxi","ámatʃi"
"54","Bolibar","amoma","ámoma","ámoma"
"55","Busturia","amoma","amóma","amóma"
"56","Deba","amama","ámamá","ámamá"
"57","Dima","amoma","ámoma","ámoma"
"58","Dima","amandre","ámandre","ámandre"
"59","Domintxaine","amañi","ámañí","ámaɲí"
"60","Domintxaine","amama","ámamá","ámamá"
"61","Domintxaine","amatxi","ámatxí","ámatʃí"
"62","Domintxaine","meme","méme","méme"
"63","Donamaria","amatxi","amátxi","amátʃi"
"64","Donibane Lohizune","amatxi","amatxí","amatʃí"
"65","Donostia","amon","amón","amón"
"66","Dorrao / Torrano","amiña","amíña","amíɲa"
"67","Dorrao / Torrano","amazar","ámazárr","ámasár̄"
"68","Eibar","amama","amáma","amáma"
"69","Elantxobe","amoma","amóma","amóma"
"70","Elduain","amona","amóná","amóná"
"71","Elduain","amon","amón","amón"
"72","Elgoibar","amama","amáma","amáma"
"73","Elorrio","amama","amáma","amáma"
"74","Erratzu","amatxi","amátxi","amátʃi"
"75","Errezil","amandre","amandré","amandré"
"76","Errezil","amama","amamá","amamá"
"77","Errezil","amona","amoná","amoná"
"78","Errigoiti","amoma","amóma","amóma"
"79","Errigoiti","amona","amóna","amóna"
"80","Eskiula","amañi","amañí","amaɲí"
"81","Etxalar","amautxi","amaútxi","amaútʃi"
"82","Etxalar","amautxi","amáutxi","amáutʃi"
"83","Etxaleku","amona","amoná","amoná"
"84","Etxarri (Larraun)","amandre","ámandré","ámandré"
"85","Etxebarri","amama","amáma","amáma"
"86","Etxebarri","amandre","amándrre","amándr̄e"
"87","Etxebarria","amama","amáma","amáma"
"88","Eugi","amutxi","amútxi","amútʃi"
"89","Ezkio-Itsaso","amandre","amandré","amandrɛ́"
"90","Ezkio-Itsaso","amona","amóna","amóna"
"91","Ezkurra","amona","amoná","amõná"
"92","Ezkurra","amon","amón","amṍn"
"93","Ezterenzubi","amatxi","amátxi","amátʃi"
"94","Gaintza","amandre","amandré","amandré"
"95","Gaintza","amon","amón","amón"
"96","Gamarte","amama","amáma","amáma"
"97","Gamiz-Fika","amama","ámama","ámama"
"98","Garrüze","amañi","amáñi","amáɲi"
"99","Getaria","amona","amóná","amóná"
"100","Getaria","amandre","amandré","amandré"
"101","Getxo","amama","ámama","ámama"
"102","Gizaburuaga","amama","ámama","ámama"
"103","Goizueta","amona","amoná","amoná"
"104","Hazparne","amatxi","amátxi","amátʃi"
"105","Hendaia","amatxi","amátxi","amátʃi"
"106","Hernani","amona","amóná","amóná"
"107","Hondarribia","amona","amóna","amóna"
"108","Hondarribia","amatxi","amátxi","amátʃi"
"109","Ibarruri (Muxika)","amoma","ámoma","ámoma"
"110","Ibarruri (Muxika)","amandre","amándrre","amándr̄e"
"111","Igoa","amatxe","ámatxé","ámatʃé"
"112","Igoa","amandre","ámandré","ámandré"
"113","Igoa","abuela","ábuelá","áβwelá"
"114","Igoa","amona","ámoná","ámoná"
"115","Ikaztegieta","amona","amóna","amóna"
"116","Ikaztegieta","amandre","amandrea","amandrea"
"117","Irisarri","amatxi","amátxi","amátʃi"
"118","Itsasu","amatxi","amátxi","amátʃi"
"119","Izturitze","amaatxi","amaátxi","amaátʃi"
"120","Jaurrieta","amatto","amátto","amátto"
"121","Jutsi","amama","amama","amama"
"122","Kortezubi","amama","ámama","ámama"
"123","Landibarre","amatxi","amatxí","amatʃí"
"124","Larrabetzu","amama","ámama","ámama"
"125","Larraine","amañi","amañí","amaɲí:"
"126","Larzabale","amama","amamá","amamá"
"127","Larzabale","gaxama","gaxáma","gaʃáma"
"128","Lasarte-Oria","amon","amón","amón"
"129","Lasarte-Oria","amona","amóñá","amóɲá"
"130","Laukiz","amoma","ámoma","ámoma"
"131","Legazpi","amandre","amandre","amandre"
"132","Leintz Gatzaga","amona","amóna","amóna"
"133","Leintz Gatzaga","amandre","amándrre","amándr̄e"
"134","Leioa","amama","ámama","ámama"
"135","Leitza","amona","amona","amona"
"136","Lekaroz","amatxi","amatxi","amatʃi"
"137","Lekeitio","amoma","amóma","amóma"
"138","Lemoa","amama","ámama","ámama"
"139","Lemoa","amandre","ámandrre","ámandr̄e"
"140","Lemoa","abuela","abuéla","aβwéla"
"141","Lemoiz","amama","ámama","ámama"
"142","Luzaide / Valcarlos","amatxi","amátxi","amátʃi"
"143","Makea","amatxi","ámatxí","ámatʃí"
"144","Mañaria","amama","ámama","ámama"
"145","Mendaro","amama","ámamá","ámãmá"
"146","Mendata","amoma","amóma","amóma"
"147","Mezkiritz","amatxi","amátxi","amátʃi"
"148","Mezkiritz","amitxi","amítxi","amítʃi"
"149","Montori","axama","axamá","aʃamá"
"150","Montori","amama","amáma","amáma"
"151","Montori","amañi","amañí","amaɲí"
"152","Mugerre","amitxi","amítxi","amítʃi"
"153","Mungia","amama","ámAOma","áma̞ma"
"154","Oderitz","amañi","ámañí","ámaɲí"
