"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","iduria","idúria","iðúrja"
"2","Ahetze","ite","íte","íte"
"3","Aia","alkarren antza","alkárren antzá","alkár̄ɛn antsá"
"4","Aia","antzekua dittuk","ántzekua díttuk","ántsekwa ðíttuk"
"5","Aldude","elgarren eite","elgarrén eíte","elɣar̄én eíte"
"6","Alkotz","pintetui tao","pintétui taó","pintétwi taó"
"7","Alkotz","idurittui tao","iduríttui táo","iðuríttwi táo"
"8","Alkotz","paratui tao","parátui táo","parátwi táo"
"9","Alkotz","paratue da","parátue dá","parátue ðá"
"10","Altzai","üdüi dük","üdüi d´ük","yðyi ðýk"
"11","Altzai","aitaen ber potreta dik","aitáem berr potréta dik","ai̯táem ber̄ potréta ðik"
"12","Altzai","üdüi dük","üdüi d´ük","yðyi ðýk"
"13","Altzai","nurbaiten egite","nurrbáiten egíte","nur̄βái̯ten eɣíte"
"14","Altzai","egitenet badik","egítenét badik","eɣítenét baðik"
"15","Altzai","aitaen egite","aitáen egite","ai̯táen eɣite"
"16","Altzürükü","üdüi tüzü","üd´üi tüzü","yðýi̯ tysy"
"17","Altzürükü","egite badiela","egíte badiela","eɣíte βaðiela"
"18","Amezketa","antza dauka","antzá dauká","antsá ðau̯ká"
"19","Andoain","antza du","ántza dú","ántsa ðú"
"20","Aniz","idurie da","idúrie dá","i̯ðúrie ðá"
"21","Aramaio","antza euki","antzá euki","antsá eu̯ki"
"22","Araotz (Oñati)","antza euki","ántza eukí","ántsa eu̯kí"
"23","Arbizu","antz asko dakiyue","ántz ásko dakiyué","ánts áśko ðakiǰwé"
"24","Arboti","elgarrite baute","élgarríte baute","élɣar̄íte βau̯te"
"25","Arboti","potreta","potréta","potréta"
"26","Arboti","üdüri","´üdüri","ýðyri"
"27","Armendaritze","ite ute","íte ute","íte ute"
"28","Armendaritze","iduriak dira","idúriag dira","iðúriaɣ ðira"
"29","Arnegi","ite baute","íte baute","íte βaute"
"30","Arrangoitze","ite","íte","íte"
"31","Arrasate","antza euki","antzá eukí","antsá eu̯kí"
"32","Arrazola (Atxondo)","antza euki","ántza euki","ántsa eu̯ki"
"33","Arrieta","antza dekie","ántza dékie","ántsa ðékie"
"34","Arroa (Zestoa)","alkarren antza","alkárren ántza","alkár̄ɛn ántsa"
"35","Arroa (Zestoa)","alkarren antzekuak","alkárren ántzekuak","alkár̄ɛn ántsekwak"
"36","Arrueta","ite uten","íte utén","íte utén"
"37","Asteasu","antza uka","antzá uká","antsá: uká"
"38","Ataun","bata besten antzekok","báta bestén ántzekók","báta βeśtén ántsekók"
"39","Ataun","antz aundie due","ántz aundíe dué","ánts au̯ndíe ðué"
"40","Azkaine","tretaita","trétaitá","trétai̯tá"
"41","Azkaine","egite badu","egíte - badu","eɣíte - βaðu"
"42","Azkoitia","antza euki","ántzaeukí","ántsaeu̯kí"
"43","Azkoitia","antza euki","ántza éuki","ántsa éu̯ki"
"44","Azpeitia","antza baduela","antzá baduéla","antsá βaðuéla"
"45","Baigorri","eite du","eite du","ei̯te ðu"
"46","Bakio","alkarren antza euki","alkarren antzá euki","alkar̄en antsá eu̯ki"
"47","Bardoze","elgarreite ute","élgarreité ute","élgar̄ei̯té ute"
"48","Bardoze","egite","egíte","eɣíte"
"49","Bardoze","eite","éite","éi̯te"
"50","Barkoxe","aita üdüia","aita üdüia","ai̯ta yðyia"
"51","Barkoxe","aita ebatzia","aita ebatzía","ai̯ta eβatsía"
"52","Barkoxe","aitain egíte","aitain egíte","ai̯tai̯n eɣíte"
"53","Bastida","ite diin","ite diin","ite ðiin"
"54","Bastida","dena ama","dena ama","dena ama"
"55","Beasain","atten antzekoa dek","átten antzékoa dék","átten antsékoa ðék"
"56","Behorlegi","baixi ite","baixí ité:","bai̯ʃí ité:"
"57","Behorlegi","elgarriduriak","elgárridúriak","elgár̄iðúriak"
"58","Beizama","alkarren antza","alkárren antzá","alkár̄ɛn antsá"
"59","Bergara","alkarren antzekuak","alkarrén antzékuak","alkar̄én antsékuak"
"60","Bermeo","antza euki","antzá eukí","antsá eu̯kí"
"61","Berriz","antza deko","antza dekó","antsa ðekó"
"62","Berriz","trasie dekot","trásie dekot","tráśie ðekot"
"63","Beruete","antza badutela","ántza badutéla","ántsa βaðutéla"
"64","Beruete","kera aundi du","kéra áundi du","kéra áu̯ndi ðu"
"65","Beskoitze","ite dute","íte dute","íte ðute"
"66","Bidarrai","elgarren eite","elgárren eite","elɣár̄en ei̯te"
"67","Bidarrai","elgarriduriak","elgárriduríak","elɣár̄iðuríak"
"68","Bolibar","alkarren itxura","alkárren itxúra","alkár̄en itʃúra"
"69","Bolibar","alkarren antza","alkárren ántza","alkár̄en ántsa"
"70","Bolibar","alkarren itxure","alkárren ítxure","alkár̄en ítʃure"
"71","Bolibar","alkarren trasa","alkárren trása","alkár̄en tráśa"
"72","Busturia","antza euki","antzá eukí","antsá eu̯kí"
"73","Deba","itxuria euki","itxúria éuki","itʃúrja éu̯ki"
"74","Deba","antza euki","ántza éuki","ántsa éu̯ki"
"75","Dima","antza deukie","antzá deukíe","antsá ðeu̯kíe"
"76","Domintxaine","elgar thiatzen dute","élgar thíatzen dute","élgar thíatsen ðute"
"77","Domintxaine","eite baute","éite baute","éi̯te βaute"
"78","Domintxaine","iduria da","idúria da","iðúria ða"
"79","Domintxaine","ite badü","íte bádü","íte βáðy"
"80","Donamaria","atta iduri-iduri","áttaidúridúri","áttai̯ðúriðúri"
"81","Donibane Lohizune","ite","íte","íte"
"82","Donostia","antza du","antza - du","antsa - du"
"83","Dorrao / Torrano","antza battie","ántza battié","ántsa βattié"
"84","Eibar","aittan trazia","áittan trázia","ái̯ttan trásia"
"85","Elantxobe","antza euki","antzá euki","antsá eu̯ki"
"86","Elduain","atten iguala","atten iguála","atte:n iɣwála"
"87","Elduain","antza dula","antzá dulá","antsá ðulá"
"88","Elgoibar","trazan dauka","trázan - dauka","trásan - ðau̯ka"
"89","Elorrio","antza deuke","antza deuke","antsa ðeu̯ke"
"90","Erratzu","idurie da","idurié da","i̯ðurié ða"
"91","Errezil","antza due","antzá dué","antsá ðué"
"92","Errezil","antzekok dia","antzékok día","antsékok día"
"93","Errigoiti","antza dekie","antzá dekie","antsá ðekie"
"94","Eskiula","egitila","egítila","eɣítila"
"95","Etxalar","plantaku da","plántaku da","plántaku ða"
"96","Etxalar","iduriyeku da","iduriyéku da","iðuriǰéku ða"
"97","Etxalar","iduri du","idúri du","iðúri ðu"
"98","Etxaleku","iduri bateko ittuk","idúri batékoittúk","iðúri βatékoi̯ttúk"
"99","Etxaleku","idurie","ídurié","íðurié"
"100","Etxarri (Larraun)","kera badui","kéra baduí","kéra βaðwí"
"101","Etxebarri","antza euki","ántza euki","ántsa eu̯ki"
"102","Etxebarria","itxura","itxúra","itʃúra"
"103","Etxebarria","traza","tráSZa","trás̟a"
"104","Eugi","aita iduri-iduria u","áita idúriduriáu","ái̯ta iðúriðurjáu̯"
"105","Ezkio-Itsaso","alkarren antza","alkárren antzá","alkár̄ɛn antsá"
"106","Ezkurra","antza dauke","ántza dáuke","ántsa ðáu̯ke"
"107","Ezterenzubi","iduria dira","idúria díra","iðúria ðíra"
"108","Ezterenzubi","iduri dute","idúri dute","iðúri ðute"
"109","Ezterenzubi","eite baute","eíte baúte","eíte βaúte"
"110","Gaintza","kera duela","kéra duéla","kéra ðuéla"
"111","Gaintza","antza due","ántza dué","ántsa ðué"
"112","Gaintza","bik iguala te","bík iguála té","bík iɣwála té:"
"113","Gamarte","baute elgar ite","baute elgárr ité","baute elgár̄ ité"
"114","Gamarte","elgarren ite","elgárren ité","elɣár̄en ité"
"115","Gamiz-Fika","antza deukogu","antzá deukogu","antsá ðeu̯koɣu"
"116","Garrüze","elgarridüria tuk","élgarridüriá tuk","élɣar̄iðyriá tuk"
"117","Garrüze","ite badie","íte badíe","íte βaðíe"
"118","Getaria","antza uela","ántza - uéla","ántsa - uéla"
"119","Getaria","ondo iguala tia","óndo íguala tiá","óndo íɣwala tjá"
"120","Getxo","antzekok ixin","antzékok ixin","antsékok iʃin"
"121","Gizaburuaga","antza euki","antzá euki","antsá eu̯ki"
"122","Gizaburuaga","iguela saries","iguela saries","iɣwela śarieś"
"123","Gizaburuaga","trasie dekosue","trrasie dekosue","tr̄aśie ðekośue"
"124","Gizaburuaga","alkarren itxurie","alkárren itxurie","alkár̄en itʃurie"
"125","Goizueta","attan iol-iola","áttan iol ióla","áttan iol ióla"
"126","Goizueta","antza dik","ántza - dik","ántsa - ðik"
"127","Goizueta","traza dik","trráza - dik","tr̄ása - ðik"
"128","Hazparne","elgarren ite","élgarren ítia","élɣar̄en ítia"
"129","Hendaia","ite","íte","íte"
"130","Hernani","iuala ek","iuála ek","i̯wála ek"
"131","Hernani","antza ik","antzá - ik","antsá - i̯k"
"132","Hondarribia","antza","ántza","ã́ntsa"
"133","Ibarruri (Muxika)","antza euki","antzá euki","antsá eu̯ki"
"134","Igoa","taza badutela","táza bádutéla","tása βáðutéla"
"135","Igoa","elkarren kera","elkárren kerá","ɛlkár̄ɛŋ kerá"
"136","Igoa","elkarren trazakoa","elkárren trazákoa","ɛlkár̄ɛn trasákoa"
"137","Igoa","elkarren kerakoak","elkárren kérakoák","ɛlkár̄ɛŋ kérakoák"
"138","Igoa","elkarren antza","elkárren antzá","ɛlkár̄ɛn antsá"
"139","Igoa","elkarren antzakoa","elkárren ántzakoa","ɛlkár̄ɛn ántsakoa"
"140","Ikaztegieta","antz aundie dik","antz aundie dik","ants au̯ndie ðik"
"141","Ikaztegieta","tankera dik","tankéra - dik","taŋkéra - ðik"
"142","Irisarri","ite","íte","íte"
"143","Itsasu","ite","íte","íte"
"144","Izturitze","iduria tien","iduria tien","iðuria tien"
"145","Izturitze","dena aita uk","dena aitauk","dena ai̯tau̯k"
"146","Izturitze","eite badiin","eíte badíin","eíte βaðíin"
"147","Izturitze","tiatzen","tiatzen","tiatsen"
"148","Jaurrieta","ematen diakok","emáten diakók","emáten djakók"
"149","Jutsi","ite uten","ite uten","ite uten"
"150","Kortezubi","antza euki","antza eukí","antsa eu̯kí"
"151","Landibarre","elgarrite baute","elgárrité baúte","elɣár̄ité βaúte"
"152","Landibarre","elgarriduri dute","elgárridúri dute","elɣár̄iðúri ðute"
"153","Larrabetzu","antza euki","ántza eukí","ántsa eu̯kí"
"154","Larraine","üdüi dük","üd´ü:i dük","yðý:i̯ ðyk"
"155","Larraine","algarrüdüi","algárrüd´üi","algár̄yðýi̯"
"156","Larraine","alkarrüdüi","álkarrüd´üi","álkar̄ydýi̯"
"157","Larraine","algaarren egite","algáarren egíte","algáar̄en eɣíte"
"158","Larzabale","elgarriduria dien","elgarriduria dien","elgar̄iðuria ðien"
"159","Larzabale","ite uten","ité uten","ité uten"
"160","Lasarte-Oria","antza dute","ántza dute","ántsa ðute"
"161","Lasarte-Oria","tankera dute","tánkerá dute","táŋkerá ðute"
"162","Laukiz","alkarren antzekoak ixin","alkarren antzékoak ixin","alkar̄en antsékoak iʃin"
"163","Legazpi","antza daukie","antza daukie","antsa ðau̯kie"
"164","Legazpi","antzekok die","antzekok die","antsekok die"
"165","Leintz Gatzaga","antza euki","antzá euki","antsá eu̯ki"
"166","Leioa","antza euki","antzá euki","antsá eu̯ki"
"167","Leitza","antza do","ántza dó","ántsa ðó"
"168","Lekaroz","idurie de","idurie dé","iðurie ðɛ́"
"169","Lekaroz","idurie da","idurie dá","i̯ðurie ðá"
"170","Lekeitio","antza euki","antzá euki","antsá eu̯ki"
