"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","eiloba","eilóba","ei̯lóβa"
"2","Ahetze","alabatxi","alabátxi","alaβátʃi"
"3","Aia","billoba","billobá","βiʎoβá"
"4","Aldude","ilobatxo","ílobatxó","íloβatʃó"
"5","Aldude","ilobatxipi","ilóbatxípi","ilóβatʃípi"
"6","Alkotz","illeba","illéba","iʎéβa"
"7","Altzai","arraalhaba","árraalhába","ár̄aalháβa"
"8","Altzürükü","arralhaba","árralhába","ár̄alháβa"
"9","Altzürükü","arrahaur","arraháur","ar̄aháu̯r"
"10","Amezketa","illoba","íllobá","íʎoβá"
"11","Amezketa","billoba","bíllobá","bíʎoβá"
"12","Andoain","illoba","íllobá","íʎoβá"
"13","Aniz","illoba","ílloba","íʎoβa"
"14","Aramaio","illoba","ílloba","íʎoβa"
"15","Araotz (Oñati)","billoba","billóba","biʎóβa"
"16","Arbizu","illeba","illéba","iʎéβa"
"17","Arbizu","illoba","illóba","iʎóβa"
"18","Arboti","arraalhaba","árraalhába","ár̄aalháβa"
"19","Armendaritze","alabattipi","álabattipi","álaβattipi"
"20","Arnegi","illoba","ílloba","íʎoβa"
"21","Arrangoitze","aurttipi","aurrttipí","au̯r̄ttipí"
"22","Arrangoitze","alabattiki","alábattíki","aláβattíki"
"23","Arrangoitze","alaatxi","alaátxi","alaátʃi"
"24","Arrasate","loba","lóba","lóβa"
"25","Arrazola (Atxondo)","loba","lóba","lóβa"
"26","Arrieta","loba","lobá","loβá"
"27","Arroa (Zestoa)","illoba","illóba","iʎóβa"
"28","Arrueta","arralaba","arrálabá","ar̄álaβá"
"29","Asteasu","illoba","illobá","iʎoβá"
"30","Asteasu","billoba","billóbá","biʎóβá"
"31","Ataun","illoba","illobá","iʎoβá"
"32","Azkaine","illobattiki","illóbattíki","iʎóβattíki"
"33","Azkoitia","biloba","bilóba","bilóβa"
"34","Azkoitia","illoba","illóba","iʎóβa"
"35","Azpeitia","billoba","billóba","βiʎóβa"
"36","Azpeitia","illoba","illóba","iʎóβa"
"37","Baigorri","iloba","iloba","iloβa"
"38","Baigorri","ilobattipi","ilobattipi","iloβattipi"
"39","Bakio","loba","lóba","lóβa"
"40","Bardoze","arraalaba","arráalaba","ar̄áalaβa"
"41","Barkoxe","arralhaba","arralhába","ar̄alháβa"
"42","Bastida","alhabattipi","alhabattipi","alhaβattipi"
"43","Beasain","illoba","illóba","iʎóβa"
"44","Behorlegi","nekattottipi","nekattottipí","nekattottipí"
"45","Behorlegi","haurttipi","haurrttipí","hau̯r̄ttipí"
"46","Beizama","illoba","íllobá","íʎoβá"
"47","Bergara","loiba","lóiba","lói̯βa"
"48","Bermeo","loba","lobá","loβá"
"49","Berriz","loba","lóba","lóβa"
"50","Beruete","illo","illó","iʎó"
"51","Beruete","illoa","ílloá","íʎoá"
"52","Beskoitze","alabattipi","alabáttípi","alaβáttípi"
"53","Bidarrai","iloba","ilóba","ilóβa"
"54","Bolibar","loba","lóba","lóβa"
"55","Busturia","loba","lóba","lóβa"
"56","Deba","illoba","illóba","iʎóβa"
"57","Dima","lloba","llóba","ʎóβa"
"58","Domintxaine","arralaba","arrálaba","ar̄álaβa"
"59","Donamaria","illoba","illóba","iʎóβa"
"60","Donibane Lohizune","iloba","ilóba","ilóβa"
"61","Donostia","illoba","illóba","iʎóβa"
"62","Donostia","billoba","billoba","biʎoβa"
"63","Dorrao / Torrano","illo","íllo","íʎo"
"64","Eibar","loiba","lóiba","lói̯βa"
"65","Eibar","billoba","billóba","biʎóβa"
"66","Elantxobe","loba","lóba","lóβa"
"67","Elduain","billoba","billóbá","βiʎó:βá"
"68","Elgoibar","illoba","illóba","iʎóβa"
"69","Elorrio","billoba","billóba","βiʎóβa"
"70","Erratzu","iloa","iluá","ilwá"
"71","Errezil","billoba","billobá","biʎoβá"
"72","Errigoiti","loba","lóba","lóβa"
"73","Eskiula","arralhaba","árralhába","ár̄alháβa"
"74","Etxalar","illoba","illobá","iʎoβá"
"75","Etxaleku","illuattikik","ílluattikík","íʎuattikík"
"76","Etxaleku","illoba","íllobak","íʎoβak"
"77","Etxarri (Larraun)","illoa","ílloá","íʎoá"
"78","Etxebarri","lloba","llóba","ʎóβa"
"79","Etxebarria","loba","lóba","lóβa"
"80","Ezkio-Itsaso","illoba","illóba","iʎóβa"
"81","Ezkurra","illo","illó","iʎó"
"82","Ezkurra","illoba","illóbá","iʎóβá"
"83","Ezterenzubi","alabatxi","alábatxi","aláβatʃi"
"84","Gaintza","illo","illó","iʎó"
"85","Gaintza","illoa","illoá","iʎoá"
"86","Gamiz-Fika","loba","lobá","loβá"
"87","Garrüze","aurttipi","aurrttípi","au̯r̄ttípi"
"88","Getaria","illoba","illóbá","iʎóβá"
"89","Getxo","loba","lobá","loβá"
"90","Gizaburuaga","illoba","illóba","iʎóβa"
"91","Goizueta","illoua","illóuá","iʎó:wá"
"92","Hazparne","alabattipi","alabattipí","alaβattipí"
"93","Hendaia","illobattiki","illobáttiki","iʎoβáttiki"
"94","Hernani","illobattigi","illóbattigí","iʎóβattiɣí"
"95","Hondarribia","illoba","illóba","iʎóβa"
"96","Ibarruri (Muxika)","loba","lóba","lóβa"
"97","Igoa","illo","illó","iʎó"
"98","Igoa","illoa","ílloá","íʎoá"
"99","Igoa","nieta","níetá","níetá"
"100","Ikaztegieta","illobattiki","illóbattiki","iʎóβattiki"
"101","Ikaztegieta","billoba","billóba","biʎóβa"
"102","Irisarri","alabattipi","alabattípi","alaβattípi"
"103","Itsasu","neskatxipi","néskatxipí","néśkatʃipí"
"104","Izturitze","alabattipi","alabattípi","alaβattípi"
"105","Izturitze","ilobattipi","ilobattípi","iloβattípi"
"106","Izturitze","arrahaur","arrahaurr","ar̄ahau̯r̄"
"107","Jaurrieta","nieta","niétara","njétara"
"108","Jutsi","iloba","iloba","iloβa"
"109","Kortezubi","loba","lobá","loβá"
"110","Landibarre","illobattipí","illobáttipí","iʎoβáttipí"
"111","Larrabetzu","loba","lóba","lóβa"
"112","Larraine","arralhaba","arrálhabá","ar̄álhaβá"
"113","Larzabale","arrailloba","arraillóba","ar̄ai̯ʎóβa"
"114","Lasarte-Oria","illoba","illobá","iʎoβá"
"115","Lasarte-Oria","billoba","bíllobá","bíʎoβá"
"116","Laukiz","loba","lóba","lóβa"
"117","Legazpi","billoba","billoba","βiʎoβa"
"118","Leioa","loba","lóba","lóβa"
"119","Leitza","illoba","illobá","iʎoβá"
"120","Lekaroz","iloa","íloa","íloa"
"121","Lekaroz","iloa","ílua","ílwa"
"122","Lekeitio","illoba","illóba","iʎóβa"
"123","Lemoa","lloba","llóba","ʎóβa"
"124","Lemoiz","loba","lobá","loβá"
"125","Luzaide / Valcarlos","ilobattipi","ilóbattípi","ilóβattípi"
"126","Makea","illobattipi","illóbattipí","iʎóβattipí"
"127","Makea","neskattiki","neskáttíki","neśkáttíki"
"128","Mañaria","illoba","illóba","iʎóβa"
"129","Mendaro","illoba","illóba","iʎóβa"
"130","Mendata","loba","lóba","lóβa"
"131","Mezkiritz","billoba","billóba","biʎóβa"
"132","Montori","arralhaba","árralhába","ár̄alháβa"
"133","Mugerre","alabattipi","alabattipi","alaβattipi"
"134","Mugerre","alaatxi","alaatxi","alaatʃi"
"135","Mungia","loba","loba","loβa"
"136","Oderitz","illoa","ílloá","íʎoá"
"137","Oderitz","illo","ílló","íʎó"
"138","Oiartzun","billoba","billóbá","βiʎóβá"
"139","Oiartzun","illoba","illóba","iʎóβa"
"140","Oñati","lloba","llóba","ʎóβa"
"141","Ondarroa","loba","lóba","lóβa"
"142","Orexa","illoba","illóba","iʎóβa"
"143","Orio","illoba","illóbá","iʎóβá"
"144","Orozko","nieta","niéta","niéta"
"145","Orozko","birralaba","birralába","βir̄aláβa"
"146","Otxandio","lloba","llóba","ʎóβa"
"147","Pagola","arralhaba","arralhába","ar̄alháβa"
"148","Pagola","alhabattipi","alhabattípi","alhaβattípi"
"149","Pasaia","billoba","bíllobá","bíʎoβá"
"150","Santa Grazi","alhabattipi","alhabattípi","alhaβattípi"
"151","Sara","alautxi","aláutxi","aláu̯tʃi"
"152","Sara","neskattiki","neskattíki","neśkattíki"
"153","Senpere","alautxi","aláutxi","aláu̯tʃi"
"154","Sohüta","arraalhaba","árraalhába","ár̄aalháβa"
"155","Sondika","loba","lóba","lóβa"
"156","Suarbe","nieta","niéta","njéta"
"157","Sunbilla","illoba","illóba","iʎóβa"
"158","Tolosa","billoba","billóbá","biʎóβá"
"159","Uharte Garazi","ilobattipi","ilobáttípi","iloβáttípi"
"160","Urdiain","illoba","íllobá","íʎoβá"
"161","Urdiain","nieta","niéta","njéta"
"162","Urdiñarbe","arralhaba","arralhába","ar̄alháβa"
"163","Urretxu","billoba","bíllobá","bíʎoβá"
"164","Ürrüstoi","arraalhaba","arraalhába","ar̄aalháβa"
"165","Uztaritze","ilobattiki","ilobattíki","iloβattíki"
"166","Uztaritze","alaitxi","alaítxi","alaítʃi"
"167","Zaratamo","lloba","llóba","ʎóβa"
"168","Zeanuri","lloba","llóba","ʎóβa"
"169","Zeberio","billoba","billóba","βiʎóβa"
"170","Zegama","illoba","illobá","iʎoβá"
"171","Zilbeti","illoba","íllobá","íʎoβá"
"172","Zollo (Arrankudiaga)","nieta","niéta","njéta"
"173","Zornotza","lloba","llóba","ʎóβa"
"174","Zugarramurdi","iloba","ilóba","ilóβa"
